id,year,month,day,hour,station_id,bikes_available,predict
0,2013,9,1,0,0,11.0,0
1,2013,9,1,1,0,11.0,0
2,2013,9,1,2,0,11.0,0
3,2013,9,1,3,0,11.0,0
4,2013,9,1,4,0,11.0,0
5,2013,9,1,5,0,11.0,0
6,2013,9,1,6,0,11.0,0
7,2013,9,1,7,0,11.0,0
8,2013,9,1,8,0,11.0,0
9,2013,9,1,9,0,11.0,0
10,2013,9,1,10,0,11.0,0
11,2013,9,1,11,0,11.0,0
12,2013,9,1,12,0,10.0,0
13,2013,9,1,13,0,9.0,0
14,2013,9,1,14,0,7.0,0
15,2013,9,1,15,0,6.0,0
16,2013,9,1,16,0,10.0,0
17,2013,9,1,17,0,10.0,0
18,2013,9,1,18,0,11.0,0
19,2013,9,1,19,0,12.0,0
20,2013,9,1,20,0,12.0,0
21,2013,9,1,21,0,12.0,0
22,2013,9,1,22,0,11.0,0
23,2013,9,1,23,0,11.0,0
24,2013,9,2,0,0,12.0,0
25,2013,9,2,1,0,11.0,0
26,2013,9,2,2,0,11.0,0
27,2013,9,2,3,0,12.0,0
28,2013,9,2,4,0,12.0,0
29,2013,9,2,5,0,11.0,0
30,2013,9,2,6,0,12.0,0
31,2013,9,2,7,0,12.0,0
32,2013,9,2,8,0,11.0,0
33,2013,9,2,9,0,12.0,0
34,2013,9,2,10,0,12.0,0
35,2013,9,2,11,0,12.0,0
36,2013,9,2,12,0,12.0,0
37,2013,9,2,13,0,12.0,0
38,2013,9,2,14,0,12.0,0
39,2013,9,2,15,0,13.0,0
40,2013,9,2,16,0,10.0,0
41,2013,9,2,17,0,12.0,0
42,2013,9,2,18,0,11.0,0
43,2013,9,2,19,0,8.0,0
44,2013,9,2,20,0,11.0,0
45,2013,9,2,21,0,10.0,0
46,2013,9,2,22,0,10.0,0
47,2013,9,2,23,0,10.0,0
48,2013,9,3,0,0,10.0,0
49,2013,9,3,1,0,11.0,0
50,2013,9,3,2,0,11.0,0
51,2013,9,3,3,0,11.0,0
52,2013,9,3,4,0,10.0,0
53,2013,9,3,5,0,11.0,0
54,2013,9,3,6,0,10.0,0
55,2013,9,3,7,0,11.0,0
56,2013,9,3,8,0,11.0,0
57,2013,9,3,9,0,11.0,0
58,2013,9,3,10,0,11.0,0
59,2013,9,3,11,0,11.0,0
60,2013,9,3,12,0,11.0,0
61,2013,9,3,13,0,10.0,0
62,2013,9,3,14,0,11.0,0
63,2013,9,3,15,0,12.0,0
64,2013,9,3,16,0,12.0,0
65,2013,9,3,17,0,12.0,0
66,2013,9,3,18,0,12.0,0
67,2013,9,3,19,0,12.0,0
68,2013,9,3,20,0,12.0,0
69,2013,9,3,21,0,10.0,0
70,2013,9,3,22,0,10.0,0
71,2013,9,3,23,0,9.0,0
72,2013,9,4,0,0,9.0,0
73,2013,9,4,1,0,8.0,0
74,2013,9,4,2,0,9.0,0
