TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_FRAUD
293124,2021/12/1 0:02,994,1679,24.34,0
293125,2021/12/1 0:10,720,1226,83.05,0
293126,2021/12/1 0:11,619,662,33.19,0
293127,2021/12/1 0:21,86,363,34.49,0
293128,2021/12/1 0:21,68,712,33.63,0
293129,2021/12/1 0:22,614,346,26.53,0
293130,2021/12/1 0:24,209,929,14.68,0
293131,2021/12/1 0:24,171,163,64.34,0
293132,2021/12/1 0:26,683,912,60.63,0
293133,2021/12/1 0:27,322,1398,20.65,0
293134,2021/12/1 0:28,233,1601,30.35,0
293135,2021/12/1 0:39,51,709,93.03,0
293136,2021/12/1 0:41,55,1123,44.63,0
293137,2021/12/1 0:42,187,1632,53.37,0
293138,2021/12/1 0:47,740,627,84.75,0
293139,2021/12/1 0:48,642,1227,51.6,0
293140,2021/12/1 0:48,344,1575,28.96,0
293141,2021/12/1 0:55,333,316,55.12,0
293142,2021/12/1 0:56,92,1234,40.58,1
293143,2021/12/1 0:56,111,1715,51.12,0
293144,2021/12/1 0:56,743,628,24.23,0
293145,2021/12/1 0:57,969,1600,76.28,0
293146,2021/12/1 0:59,368,1225,24.74,0
293147,2021/12/1 1:06,266,1969,18.61,0
293148,2021/12/1 1:08,610,1855,88.33,1
293149,2021/12/1 1:11,856,55,40.21,0
293150,2021/12/1 1:11,105,1353,53.77,0
293151,2021/12/1 1:16,64,1585,55.24,0
293152,2021/12/1 1:18,772,549,17.37,0
293153,2021/12/1 1:21,179,236,64.15,0
293154,2021/12/1 1:23,704,1068,68.16,0
293155,2021/12/1 1:24,798,672,61.79,0
293156,2021/12/1 1:24,372,1249,27.22,1
293157,2021/12/1 1:25,250,1112,65.86,0
293158,2021/12/1 1:27,542,368,23.49,0
293159,2021/12/1 1:30,515,652,81.6,0
293160,2021/12/1 1:31,940,1803,34.02,0
293161,2021/12/1 1:33,938,170,7.41,0
293162,2021/12/1 1:34,745,1635,82.15,0
293163,2021/12/1 1:39,304,1223,28.84,0
293164,2021/12/1 1:41,918,1035,4.02,0
293165,2021/12/1 1:42,365,261,73.64,0
293166,2021/12/1 1:53,124,352,24.04,0
293167,2021/12/1 1:55,485,1922,11.74,0
293168,2021/12/1 1:58,993,362,12.24,0
293169,2021/12/1 1:59,399,1079,149.22,0
293170,2021/12/1 2:02,286,1987,34.31,0
293171,2021/12/1 2:04,448,688,98.76,0
293172,2021/12/1 2:05,37,337,23.93,0
293173,2021/12/1 2:07,134,144,48,0
293174,2021/12/1 2:09,360,605,59.46,0
293175,2021/12/1 2:11,82,1117,21.74,0
293176,2021/12/1 2:11,881,557,43.32,0
293177,2021/12/1 2:16,136,911,82.71,0
293178,2021/12/1 2:17,534,1838,30.43,0
293179,2021/12/1 2:17,956,1188,17.87,0
293180,2021/12/1 2:20,859,290,53.66,0
293181,2021/12/1 2:28,537,618,48.76,0
293182,2021/12/1 2:29,250,328,6.26,0
293183,2021/12/1 2:33,925,262,39.14,0
293184,2021/12/1 2:34,26,1654,83.74,0
293185,2021/12/1 2:38,741,476,4.56,0
293186,2021/12/1 2:38,423,1698,26.37,0
293187,2021/12/1 2:39,400,1365,56.67,0
293188,2021/12/1 2:39,842,198,3.78,0
293189,2021/12/1 2:42,395,150,81.54,0
293190,2021/12/1 2:42,454,1299,61.87,0
293191,2021/12/1 2:44,799,182,82.92,0
293192,2021/12/1 2:44,824,760,43.39,0
293193,2021/12/1 2:56,872,37,18.84,0
293194,2021/12/1 3:00,566,230,10.3,0
293195,2021/12/1 3:00,365,222,52.89,0
293196,2021/12/1 3:08,732,950,59.77,0
293197,2021/12/1 3:10,400,1200,16.92,0
293198,2021/12/1 3:12,550,1814,34.79,0
293199,2021/12/1 3:12,510,262,44.52,0
293200,2021/12/1 3:13,729,1025,39.02,0
293201,2021/12/1 3:16,258,1915,9.39,0
293202,2021/12/1 3:17,335,398,76.3,0
293203,2021/12/1 3:18,389,606,79.25,0
293204,2021/12/1 3:18,569,352,82.65,0
293205,2021/12/1 3:19,988,1492,45.46,0
293206,2021/12/1 3:21,164,1842,64.77,0
293207,2021/12/1 3:22,581,1956,33.59,0
293208,2021/12/1 3:24,437,1829,34.38,0
293209,2021/12/1 3:26,858,303,25.48,0
293210,2021/12/1 3:27,358,1517,55.38,0
293211,2021/12/1 3:27,128,1869,77.85,0
293212,2021/12/1 3:28,855,1155,81.95,0
293213,2021/12/1 3:28,390,414,5.8,0
293214,2021/12/1 3:30,956,754,8.87,0
293215,2021/12/1 3:30,615,8,15.9,0
293216,2021/12/1 3:31,913,89,60.55,0
293217,2021/12/1 3:35,187,1502,47.79,0
293218,2021/12/1 3:36,28,1583,65.55,0
293219,2021/12/1 3:37,46,1881,68.9,0
293220,2021/12/1 3:40,663,1198,92.53,0
293221,2021/12/1 3:41,57,20,30.46,0
293222,2021/12/1 3:45,651,1814,49.37,0
293223,2021/12/1 3:45,913,1695,52.46,0
293224,2021/12/1 3:46,700,319,8.23,0
293225,2021/12/1 3:46,605,1692,24.21,0
293226,2021/12/1 3:47,292,223,41.01,0
293227,2021/12/1 3:49,378,1230,74.67,0
293228,2021/12/1 3:52,718,1119,27.3,0
293229,2021/12/1 3:54,733,466,98.74,0
293230,2021/12/1 3:54,29,951,126.88,0
293231,2021/12/1 3:55,426,1605,41.27,0
293232,2021/12/1 3:57,180,1262,20.19,0
293233,2021/12/1 3:58,213,504,73.04,0
293234,2021/12/1 3:58,725,1695,95.22,0
293235,2021/12/1 3:59,768,1779,27,0
293236,2021/12/1 4:05,104,272,20.99,0
293237,2021/12/1 4:05,866,1759,33.84,0
293238,2021/12/1 4:06,933,1587,115.73,0
293239,2021/12/1 4:09,229,1802,45.16,0
293240,2021/12/1 4:09,267,1513,4.4,0
293241,2021/12/1 4:10,108,1739,77.5,0
293242,2021/12/1 4:11,394,315,87.9,0
293243,2021/12/1 4:13,14,1001,28.15,0
293244,2021/12/1 4:13,286,1038,23.52,0
293245,2021/12/1 4:13,943,1122,54.75,0
293246,2021/12/1 4:13,508,1289,24.63,0
293247,2021/12/1 4:14,13,685,30.35,0
293248,2021/12/1 4:14,540,984,102.04,0
293249,2021/12/1 4:15,740,720,97.98,0
293250,2021/12/1 4:15,938,1142,66.4,0
293251,2021/12/1 4:15,669,228,35.17,0
293252,2021/12/1 4:16,594,682,49.44,0
293253,2021/12/1 4:22,918,1574,5.11,0
293254,2021/12/1 4:23,498,504,74.02,0
293255,2021/12/1 4:24,866,575,69.61,0
293256,2021/12/1 4:24,515,652,46.87,0
293257,2021/12/1 4:26,876,1167,32.19,0
293258,2021/12/1 4:29,750,160,52.93,0
293259,2021/12/1 4:31,95,967,123.19,0
293260,2021/12/1 4:31,924,1845,15.62,0
293261,2021/12/1 4:32,654,1178,133.01,0
293262,2021/12/1 4:32,62,1122,61.59,0
293263,2021/12/1 4:33,983,961,25.44,0
293264,2021/12/1 4:34,937,368,60.99,0
293265,2021/12/1 4:34,260,64,58.64,0
293266,2021/12/1 4:35,285,1669,40.08,0
293267,2021/12/1 4:36,596,1587,31.49,0
293268,2021/12/1 4:39,355,985,12.59,0
293269,2021/12/1 4:40,669,38,95.05,0
293270,2021/12/1 4:44,55,1860,58.1,0
293271,2021/12/1 4:45,335,398,45.56,0
293272,2021/12/1 4:45,524,1670,69.28,0
293273,2021/12/1 4:45,278,1060,62.47,0
293274,2021/12/1 4:45,884,1796,20.04,0
293275,2021/12/1 4:46,136,911,61.41,0
293276,2021/12/1 4:47,763,1021,43.98,0
293277,2021/12/1 4:48,27,914,19.48,0
293278,2021/12/1 4:49,997,1904,61.51,0
293279,2021/12/1 4:50,27,521,54.05,0
293280,2021/12/1 4:53,224,1413,67.49,0
293281,2021/12/1 4:53,282,1740,0.34,0
293282,2021/12/1 4:54,523,391,14.48,0
293283,2021/12/1 4:55,583,153,54.99,0
293284,2021/12/1 4:55,81,585,7.73,0
293285,2021/12/1 4:58,942,1856,62.3,0
293286,2021/12/1 4:58,332,1412,50.46,0
293287,2021/12/1 5:00,314,795,78.22,0
293288,2021/12/1 5:01,747,1335,8.74,0
293289,2021/12/1 5:02,468,388,45.95,0
293290,2021/12/1 5:03,743,1284,7.5,0
293291,2021/12/1 5:04,705,1297,10.39,0
293292,2021/12/1 5:05,124,352,26.18,0
293293,2021/12/1 5:05,192,1705,86.96,0
293294,2021/12/1 5:06,100,1714,8.74,0
293295,2021/12/1 5:06,95,777,24.57,0
293296,2021/12/1 5:06,669,1864,59.97,0
293297,2021/12/1 5:09,57,1997,12.82,0
293298,2021/12/1 5:11,507,353,65.37,0
293299,2021/12/1 5:11,841,828,101.13,0
293300,2021/12/1 5:12,48,719,21.85,0
293301,2021/12/1 5:12,597,1188,89.05,0
293302,2021/12/1 5:12,626,1171,29.42,0
293303,2021/12/1 5:12,504,1235,39.32,0
293304,2021/12/1 5:12,826,1540,64.2,0
293305,2021/12/1 5:16,130,424,6.63,0
293306,2021/12/1 5:17,698,35,54.02,0
293307,2021/12/1 5:18,698,1031,23.5,0
293308,2021/12/1 5:18,789,572,71.41,0
293309,2021/12/1 5:18,446,993,28.1,0
293310,2021/12/1 5:18,29,951,87.98,0
293311,2021/12/1 5:19,206,850,35.87,0
293312,2021/12/1 5:20,184,1492,14.79,0
293313,2021/12/1 5:20,534,629,5.83,0
293314,2021/12/1 5:22,596,581,47.62,0
293315,2021/12/1 5:22,752,1593,13.93,0
293316,2021/12/1 5:26,600,1063,8.15,0
293317,2021/12/1 5:26,913,639,48.31,0
293318,2021/12/1 5:26,982,1686,47.69,0
293319,2021/12/1 5:27,810,1210,136.71,0
293320,2021/12/1 5:30,406,1917,170.89,0
293321,2021/12/1 5:31,74,1467,176.54,0
293322,2021/12/1 5:31,439,1964,30.3,0
293323,2021/12/1 5:32,16,1381,88.17,0
293324,2021/12/1 5:33,848,172,17.61,0
293325,2021/12/1 5:34,55,599,32.36,0
293326,2021/12/1 5:35,109,1857,99.23,0
293327,2021/12/1 5:37,747,1328,9.35,0
293328,2021/12/1 5:37,905,1996,1.81,0
293329,2021/12/1 5:38,210,1747,7.42,0
293330,2021/12/1 5:39,717,67,13.17,0
293331,2021/12/1 5:41,677,1484,71.13,0
293332,2021/12/1 5:42,237,1888,34.4,0
293333,2021/12/1 5:42,501,154,87.99,0
293334,2021/12/1 5:43,400,1107,58.65,0
293335,2021/12/1 5:43,414,233,124.9,0
293336,2021/12/1 5:44,266,1751,5.24,0
293337,2021/12/1 5:45,942,1856,46.62,0
293338,2021/12/1 5:45,39,448,18.26,0
293339,2021/12/1 5:45,48,1408,143.75,0
293340,2021/12/1 5:47,644,375,37.28,0
293341,2021/12/1 5:48,676,989,9.42,0
293342,2021/12/1 5:48,845,1196,30.1,0
293343,2021/12/1 5:49,194,419,68.24,0
293344,2021/12/1 5:49,759,1971,26.61,0
293345,2021/12/1 5:50,557,759,79.27,0
293346,2021/12/1 5:50,600,964,13.17,0
293347,2021/12/1 5:52,829,746,3.06,0
293348,2021/12/1 5:53,346,1044,104.82,0
293349,2021/12/1 5:53,372,690,40.53,1
293350,2021/12/1 5:54,275,371,66.1,0
293351,2021/12/1 5:54,561,1211,46.47,0
293352,2021/12/1 5:55,380,124,4.4,0
293353,2021/12/1 5:55,274,1412,51.9,0
293354,2021/12/1 5:57,915,772,53.57,0
293355,2021/12/1 5:57,455,703,19.94,0
293356,2021/12/1 5:58,515,1643,82.58,0
293357,2021/12/1 5:59,115,1069,26.71,0
293358,2021/12/1 6:02,372,690,42.43,0
293359,2021/12/1 6:02,800,717,55.95,0
293360,2021/12/1 6:03,712,31,35.42,0
293361,2021/12/1 6:03,182,1989,73.54,0
293362,2021/12/1 6:03,253,1062,10.97,0
293363,2021/12/1 6:04,136,237,83.78,0
293364,2021/12/1 6:04,88,379,41.2,0
293365,2021/12/1 6:05,195,1687,69.65,0
293366,2021/12/1 6:05,609,1488,3.86,0
293367,2021/12/1 6:05,342,653,86.57,0
293368,2021/12/1 6:07,455,68,27.8,0
293369,2021/12/1 6:07,662,1583,11.08,0
293370,2021/12/1 6:08,256,1005,55.25,0
293371,2021/12/1 6:09,970,1325,79.06,0
293372,2021/12/1 6:09,970,1251,134.47,0
293373,2021/12/1 6:09,991,1137,66.19,0
293374,2021/12/1 6:10,855,94,94.94,0
293375,2021/12/1 6:11,266,1841,1,0
293376,2021/12/1 6:11,260,110,135.88,0
293377,2021/12/1 6:13,837,1094,7.83,0
293378,2021/12/1 6:14,122,1502,68.18,0
293379,2021/12/1 6:15,910,1254,68.8,0
293380,2021/12/1 6:15,695,420,81.01,0
293381,2021/12/1 6:16,482,870,13.06,0
293382,2021/12/1 6:16,352,1630,19.82,0
293383,2021/12/1 6:17,498,49,80.24,0
293384,2021/12/1 6:17,461,776,43.5,0
293385,2021/12/1 6:17,250,66,15.65,0
293386,2021/12/1 6:18,89,1301,70.5,0
293387,2021/12/1 6:18,136,929,77.37,0
293388,2021/12/1 6:19,999,471,113.17,0
293389,2021/12/1 6:21,973,1413,61.21,0
293390,2021/12/1 6:21,616,618,8.37,0
293391,2021/12/1 6:21,441,948,57.9,0
293392,2021/12/1 6:22,34,1116,34.57,0
293393,2021/12/1 6:22,616,1413,9.92,0
293394,2021/12/1 6:23,537,1746,86.52,0
293395,2021/12/1 6:23,429,1867,44.83,0
293396,2021/12/1 6:23,40,738,43.43,0
293397,2021/12/1 6:24,879,119,45.46,0
293398,2021/12/1 6:25,750,876,18.64,0
293399,2021/12/1 6:26,719,1210,100.34,0
293400,2021/12/1 6:26,303,1696,90.69,0
293401,2021/12/1 6:26,26,875,52.73,0
293402,2021/12/1 6:27,11,573,26.04,0
293403,2021/12/1 6:27,637,688,62.23,0
293404,2021/12/1 6:29,298,1631,18.66,0
293405,2021/12/1 6:29,819,510,68.55,0
293406,2021/12/1 6:30,798,651,116.98,0
293407,2021/12/1 6:31,461,1918,64.62,0
293408,2021/12/1 6:31,202,1506,15.98,0
293409,2021/12/1 6:32,613,1124,28.6,0
293410,2021/12/1 6:32,474,341,4.28,0
293411,2021/12/1 6:33,917,1138,34.62,0
293412,2021/12/1 6:33,737,881,146.13,0
293413,2021/12/1 6:33,160,593,65.28,0
293414,2021/12/1 6:34,489,10,18.74,0
293415,2021/12/1 6:34,244,1358,34.74,0
293416,2021/12/1 6:35,384,481,75.07,0
293417,2021/12/1 6:38,567,1657,28.91,0
293418,2021/12/1 6:39,339,1068,96.18,0
293419,2021/12/1 6:40,685,711,116.35,0
293420,2021/12/1 6:40,910,725,20.46,0
293421,2021/12/1 6:41,635,738,25.73,0
293422,2021/12/1 6:41,508,1073,115.3,0
293423,2021/12/1 6:42,92,1771,47.11,1
293424,2021/12/1 6:43,428,372,7.29,0
293425,2021/12/1 6:44,701,1584,34.38,0
293426,2021/12/1 6:45,365,1267,62.16,0
293427,2021/12/1 6:45,375,1225,35.55,0
293428,2021/12/1 6:46,908,912,39.41,0
293429,2021/12/1 6:46,686,543,163.54,0
293430,2021/12/1 6:46,168,262,46.9,0
293431,2021/12/1 6:46,799,1165,85.92,0
293432,2021/12/1 6:48,954,1854,35.41,0
293433,2021/12/1 6:48,948,914,2.91,0
293434,2021/12/1 6:49,960,37,81.17,0
293435,2021/12/1 6:49,516,62,70.21,0
293436,2021/12/1 6:50,406,1262,84.34,0
293437,2021/12/1 6:50,824,865,4.77,0
293438,2021/12/1 6:50,318,506,170.17,0
293439,2021/12/1 6:50,652,1991,132.51,0
293440,2021/12/1 6:51,83,1996,50.1,0
293441,2021/12/1 6:52,295,822,63,0
293442,2021/12/1 6:52,2,1864,59.4,0
293443,2021/12/1 6:53,266,734,15.57,0
293444,2021/12/1 6:53,594,1130,82.77,0
293445,2021/12/1 6:54,30,1539,103.68,0
293446,2021/12/1 6:54,601,99,4.6,0
293447,2021/12/1 6:55,156,261,63.15,0
293448,2021/12/1 6:55,645,511,116.66,0
293449,2021/12/1 6:55,400,1623,45.16,0
293450,2021/12/1 6:57,625,346,74.66,0
293451,2021/12/1 6:57,249,819,34.45,0
293452,2021/12/1 6:57,130,349,7.86,0
293453,2021/12/1 6:58,748,1898,8.35,0
293454,2021/12/1 6:58,602,586,17.69,0
293455,2021/12/1 6:58,649,782,96.65,0
293456,2021/12/1 6:58,501,633,32.73,0
293457,2021/12/1 6:59,28,141,109.53,0
293458,2021/12/1 7:00,842,354,5.06,0
293459,2021/12/1 7:00,559,1461,10.7,0
293460,2021/12/1 7:01,394,1015,106.51,0
293461,2021/12/1 7:03,842,0,15.88,0
293462,2021/12/1 7:03,389,269,43.08,0
293463,2021/12/1 7:04,37,1011,16.52,0
293464,2021/12/1 7:05,717,67,25.06,0
293465,2021/12/1 7:05,4,614,134.46,0
293466,2021/12/1 7:06,195,1307,70.53,0
293467,2021/12/1 7:06,5,1469,53.15,0
293468,2021/12/1 7:06,877,1383,181.52,0
293469,2021/12/1 7:06,817,1915,21.52,0
293470,2021/12/1 7:07,584,1796,49.73,0
293471,2021/12/1 7:07,624,409,31.72,0
293472,2021/12/1 7:07,909,1603,43.06,0
293473,2021/12/1 7:08,353,664,0.35,0
293474,2021/12/1 7:09,94,799,47.78,0
293475,2021/12/1 7:09,615,1274,6.64,0
293476,2021/12/1 7:09,772,549,57.2,0
293477,2021/12/1 7:11,736,1665,42.92,0
293478,2021/12/1 7:13,748,159,16.05,0
293479,2021/12/1 7:14,141,1537,82.4,0
293480,2021/12/1 7:15,581,705,24.6,0
293481,2021/12/1 7:16,98,42,8.67,0
293482,2021/12/1 7:17,849,1002,54.4,0
293483,2021/12/1 7:17,791,225,71.97,0
293484,2021/12/1 7:18,638,1410,40.83,0
293485,2021/12/1 7:18,775,1791,27.34,0
293486,2021/12/1 7:19,35,1180,65.77,0
293487,2021/12/1 7:20,234,1128,7.21,0
293488,2021/12/1 7:21,438,41,36.43,0
293489,2021/12/1 7:22,28,1344,66.64,0
293490,2021/12/1 7:23,945,867,10.15,0
293491,2021/12/1 7:24,921,1666,9.61,0
293492,2021/12/1 7:24,426,1605,25.75,0
293493,2021/12/1 7:24,524,1415,39.91,0
293494,2021/12/1 7:24,505,928,54,0
293495,2021/12/1 7:24,854,1603,30.44,0
293496,2021/12/1 7:25,112,376,29.56,0
293497,2021/12/1 7:25,843,1987,138.71,0
293498,2021/12/1 7:25,732,1731,71.76,0
293499,2021/12/1 7:25,824,901,57.56,0
293500,2021/12/1 7:26,371,1313,84.15,0
293501,2021/12/1 7:26,978,1184,71.73,0
293502,2021/12/1 7:27,624,1306,2.76,0
293503,2021/12/1 7:27,851,499,33.06,0
293504,2021/12/1 7:28,617,182,28.56,0
293505,2021/12/1 7:30,187,1502,31.9,0
293506,2021/12/1 7:30,421,1300,6.93,0
293507,2021/12/1 7:32,519,1954,33.26,0
293508,2021/12/1 7:34,574,971,125.06,0
293509,2021/12/1 7:34,968,1393,84.47,0
293510,2021/12/1 7:35,803,1731,38.76,0
293511,2021/12/1 7:35,914,777,24.06,0
293512,2021/12/1 7:35,151,853,32.81,0
293513,2021/12/1 7:36,672,703,8.79,0
293514,2021/12/1 7:37,962,36,39.28,0
293515,2021/12/1 7:37,419,1960,15.67,0
293516,2021/12/1 7:40,246,1303,62.23,0
293517,2021/12/1 7:40,709,1664,27.55,0
